test_id,query_id,pre1_ns,pre2_ns,pre3_ns,pre1_fix_ns,post1_ipc_ns,post2_ipc_ns,post3_ipc_ns,post4_ipc_ns,post1_tcp_ns,post2_tcp_ns,post3_tcp_ns,request_counter
1947,5,26069834,25957415,25892632,30291246,17391988,17858519,18090602,17817035,20979426,17186707,17947181,186
1947,6,33297625,33593385,33597667,37928367,30563746,30036402,30441639,28612515,33016191,31396678,31613620,356
1947,7,28608417,28843837,33790829,32514750,26979297,26055615,25211787,25732229,28241493,27516619,28000255,370
2055,1,140163962,135110588,135783274,145224294,366174403,452856598,419928687,378352161,285366780,255198252,260218324,4312
2060,1,138491710,236561888,236486198,132643475,373152942,398599887,348514002,335889727,241490020,243516043,236313369,76
2060,2,46032820,43675629,45518756,42375159,31594389,31440914,47656232,33153399,31726725,31617473,30993271,26
2060,3,29534681,29791635,29944576,28078042,16292205,17003837,30828802,17492484,17743718,18341064,18387151,52
2060,4,34444765,28075362,31617380,28228887,30758824,30581831,30421888,16302465,15601745,20732637,15410563,50
2060,5,36391834,34602454,33710716,36190324,40698395,38465114,35918993,38056034,22759392,23058257,22620034,31
2060,6,30113209,26477608,26761504,25941943,29743687,30382867,28632218,30758327,15057966,14348378,13610888,31
2060,7,26273726,25900716,25979600,26140035,15761897,16177497,16881235,17139653,15547586,15743348,15147675,97
2060,8,31638476,30006172,30095102,29029429,19799730,20207953,20901267,20201629,19844046,20283056,21053812,113
2060,9,38500034,36362869,36429321,36087494,24318365,26668739,24230039,25086063,27125665,25396685,25513774,48
2060,10,60386886,55992594,56386549,58695170,46763390,46605209,46678195,50476095,48463227,47389771,47661054,49
2060,11,29381991,26761640,26655815,29683843,14128107,14993910,14922931,14250260,14995900,15131636,13766491,49
2060,12,32902601,26524802,26206465,27624724,14532751,13947228,13748924,13855841,15024473,14494709,14034109,48
2060,13,26979125,25054246,24705293,25199922,12353268,12307496,12890936,12606928,13019936,12510453,12167719,31
2060,14,25463514,25794882,24208295,24117568,11451415,11249971,11977028,11239463,12929189,12234044,11533539,35
2060,15,25133950,24619100,23979394,24256267,11352275,12728718,11516370,11167276,11746392,11749804,11324191,31
2060,16,27389071,30809668,26639867,30164403,12677196,14337227,14572402,12823945,18542718,14499470,14004966,43
2060,17,28402247,27406845,30577618,26464435,12817511,14823281,14313276,13929521,14805447,14912636,13046261,43
2060,18,26311504,27658927,25551574,28186916,13472711,13459469,13295762,13317780,16394768,13791911,13255980,42
2060,19,34732999,30353212,29825150,34084955,17986872,21965581,18652260,18045422,19777138,18908849,18436716,55
2060,20,27334408,26924129,26283614,28202572,14822410,15193317,15582116,14783628,15500229,14915971,15184848,54
2060,21,25015725,25254456,24405640,25276121,12347488,12042858,12585487,12005638,12991904,12716570,12674125,39
2060,22,32461505,33025089,33648990,34796996,22298271,21290655,21305778,21351733,24019640,21255252,23149060,49
2060,23,33116475,33180965,37542911,33886305,20193872,20545524,20918345,19583590,21897146,20594269,22675411,49
2060,24,27344858,25986721,27755875,27206671,15350758,18171355,14815138,13574702,13971506,14069649,14159525,49
2060,25,35037422,32390645,32713811,33352363,21448593,20576860,20577313,20516543,21671496,20682876,22133488,51
2060,26,29292889,26994566,28445439,26453893,16090547,17289696,16339990,15158114,17369568,16031635,16455401,52
2060,27,28617451,26423016,26930943,27465522,15754529,14839365,15299950,15306850,15637337,15844338,14662316,52
2060,28,28983603,26362216,28871414,25249644,14561600,13094826,15286946,13355863,15459518,14012737,13551921,52
2060,29,40531153,37306722,36386074,38694077,28454790,29209789,29662529,30176447,30180649,29913294,29846388,172
2060,30,32929281,30692303,30658465,30451750,24600596,22930969,25032809,24014310,23815368,23595460,24746786,198
2060,31,28047024,26969332,27092832,27119120,15577893,14915312,16347886,16752780,16128324,16061058,16097920,95
2060,32,26346548,24138905,25532316,24606619,14084294,14222593,14769530,14692913,15155548,15697865,15178331,119
2060,33,26299181,24109088,24933946,25323117,14598446,15173503,15294343,15625364,16128165,15098209,14958112,117
2060,34,33108514,33788817,32698322,32650090,24883257,24657914,24699345,26089827,27816644,25654550,26114645,251
2060,35,53194775,50510268,50343495,49915914,56700528,56076327,56250710,60715958,60092549,57882256,58560280,687
2060,36,461265578,456282984,453812547,466960685,447289612,430752658,433068861,469929833,438661321,440762257,445799294,54
2060,37,86523673,87597610,87528614,89652577,77691303,76514668,76893861,79478153,79126322,78596070,77646033,86
2060,38,27971039,26941601,25403751,29664932,15479800,15094652,15214908,17206052,15995382,16548099,16052948,93
2060,39,27022858,26054638,25068129,28017468,13464216,13559514,13011137,15064740,14208877,13375227,14777318,49
2060,40,28757930,27015683,25556584,30094886,14137340,15481074,14344269,15660085,14559773,14486774,15182719,62
2060,41,30774069,29627296,28169388,31817577,19221760,19825161,19462668,20374737,20923419,20406699,21021303,115
2063,1,660792074,646047145,650449774,681992369,873258964,912748443,941299060,885963709,736876245,730581982,711779177,2343
2096,1,123536831,121255396,121008974,121332493,253552587,318253964,244385213,276274854,129749073,127732282,126663524,247
2096,2,55793746,55264044,55278873,54360826,59532366,60154330,55593400,59124989,44605948,42600343,44214273,36
2096,3,47714141,45154924,46930105,45992980,49457910,47604298,50217637,48570690,39750129,34266751,33676420,24
2096,4,25682511,27089361,25290658,24795179,26811502,26228746,26878890,26254998,13054577,13026341,13589478,26
2096,5,26153975,26264052,25385068,25718425,31406944,29948379,30193791,29403934,15442961,15286229,15414487,94
2096,6,42333193,41171714,42421990,42253652,54112258,50858214,52050305,52455634,38016476,37606960,37156380,213
2096,7,33161926,33162940,31721044,33123829,40053550,38674484,41513927,39433096,27365096,25765001,25918357,210
2096,8,31055122,29938692,30182431,40613589,35749098,35820133,36444017,36606440,23160134,22034435,23325614,174
2096,9,30024878,29677206,29032771,44230466,40766080,37529530,38324911,37313666,24197555,23106252,24246562,214
2096,10,28479013,43602070,26578919,30377877,31963428,38214770,33060913,32460777,19315740,19101641,19185011,133
2096,11,26772053,31403462,32714332,29586545,32590222,32653205,32717313,36966299,19238621,17455909,17398700,127
2117,1,79887801,78000910,77080379,78120144,191659128,273024319,237380075,194142145,72849175,76022800,76898208,15
2117,2,46764889,50860631,48459419,48280041,47169927,49035896,52148192,34308383,35360570,34393606,32500309,14
2117,3,47633575,48723635,49993817,48220302,39495536,39401563,41460157,42569500,40624713,41050994,39186065,168
2117,4,82230427,81961789,85990776,83403483,85599670,86456626,79037963,82513548,81559364,82767634,86296824,405
2117,5,64646470,62314756,37640459,41767746,35571258,35740959,34898238,36547641,38224049,41212036,35941280,371
2118,1,80377291,80398484,79932814,79676141,282861857,235760684,281726284,269569208,76302739,80882396,90106072,47
2118,2,49414988,51542024,50362420,50005715,38890930,37897058,36663643,38353247,37943371,37676042,40964595,46
2118,3,30299065,31153091,30242302,29854407,17304514,17986575,17302492,17011428,16862617,18518111,18302099,38
2118,4,27353027,27988669,26833659,27727754,14573754,13590943,13899582,14321979,15591147,14354136,14562365,46
2118,5,24526872,25754044,24352274,24984567,12340041,11625671,12578539,12083789,13255380,13242203,13563236,46
2118,6,26875175,26865852,27142029,26914557,14521276,14216375,14439176,14731310,14528281,15030138,16281770,58
2119,1,133401754,131626960,130354969,135659089,259356781,342648622,284974399,315390230,138107801,133443356,136126283,208
2119,2,65260078,65113481,66307328,69198881,62861712,60031146,61878708,62269510,64212546,62061584,63473806,297
2121,1,84463936,83670964,82774243,84551921,226274705,201639059,284905212,288668882,89689250,86080138,86942188,132
2121,2,55375088,55405658,54793684,55403514,59842328,44767735,46090508,61670782,47230868,45633439,45206854,143
2121,3,33010139,32605982,32616359,32647106,22456159,22844585,23028660,24009602,25561479,22043919,23397454,151
2121,4,36660000,38898600,31591379,33204518,22405262,23048688,40362115,22153518,27970408,22715465,22105073,159
2121,5,39641361,44781283,38967734,40799068,29674973,30329245,30531798,28155868,32902431,32360460,28259980,139
2121,6,35111399,38612549,36654262,36550903,22809921,26706911,23583710,27380670,24826601,22627601,26930743,128
2121,7,42520197,41082194,40994241,45461307,27791284,27939602,28209553,28150646,31507531,29551631,26975186,1
2121,8,37771069,37386351,37754189,46092501,28152091,32135978,30208272,28441091,31073841,31315057,27897242,106
2121,9,58500964,56963308,58180950,64623286,49885788,53040565,52173337,50578949,56083661,51808894,49625295,185
2121,10,40627908,40393931,39873505,43926569,31115302,32323248,33868427,32302045,34785504,31730390,31049777,163
2121,11,29177483,27948666,27852319,30401577,19431765,18976826,17878269,18190519,19052785,20551197,18083795,121
2121,12,29360501,27056159,28445166,26960615,19130846,17064537,17310739,16630504,16091771,17546832,21810707,101
2121,13,28311241,27244741,28812669,27841235,22326638,16370565,16704904,16824188,17006653,23299601,22036596,101
2121,14,26897463,26720842,26621301,26593653,16971335,16897027,16540043,15970704,16432218,18026370,20703587,103
2121,15,26935979,26826241,26446655,27334824,16031471,16268789,16374668,16752818,18066286,16994970,15575784,103
2121,16,52307754,51863907,62556367,53041065,57294634,56672632,55614473,58587894,63928709,58384159,56214603,553
2121,17,53238776,52382814,51115708,51910361,59495039,54337543,56064462,60705469,63281929,62071456,59111668,521
